inventory_book_id	book_isbn	book_name 	book_type 	width 	height 	page_count 	dust_jacket 	lamination 	color_page	paper_gsm_type	cover_type 	special_inst 	file_origin
1134	9789352064335	Hope We Never Meet Again	Paperback	5	8	222	No	Matte		70 GSM Seshai NS	250 GSM ITC PL Graphics		
1133	9789352064175	If She Had Asked…To Leave Me	Paperback	5	8	102	No	Gloss		70 GSM Seshai NS	250 GSM ITC PL Graphics		
1132	9789352064359	Professor’s Diary:For the teachers of yesterday, today and tomorrow	Paperback	5	8	146	No	Matte		70 GSM Seshai NS	250 GSM ITC PL Graphics		
1131	9789352064199	Fundamentals of Oil & Gas Industry for Beginners	Paperback	6	9	260	No	Gloss		70 GSM Seshai NS	250 GSM ITC PL Graphics		
1130	9789352063055	Your Memories Are Now My Treasure	Paperback	5	8	308	No	Gloss		70 GSM Seshai NS	250 GSM ITC PL Graphics		
1129	9789352064397	Triambika Omkar:A Love Story Like No Other	Paperback	5	8	178	No	Matte		70 GSM Seshai NS	250 GSM ITC PL Graphics		
1128	9789352061914	The Children of the Immortal:A Quest into the Hindu Identity	Hardcase	6	9	382	Yes	Matte		70 GSM Seshai NS	2.5mm Kappa Surmfit PLC		
1127	9789352064434	Love and Selfishness are Twins	Paperback	5	8	144	No	Gloss		70 GSM Seshai NS	250 GSM ITC PL Graphics		
1126	9789352064212	Coalescence	Paperback	5	8	320	No	Gloss		70 GSM Seshai NS	250 GSM ITC PL Graphics		
1125	9789352064595	Am I a Terrorist?:A Cluster of Poems	Paperback	5	8	88	No	Gloss		70 GSM Seshai NS	250 GSM ITC PL Graphics		
1124	9789352061099	The Treasure											
1123	9789352063833	The Green Room	Paperback	5	8	224	No	Gloss		70 GSM Seshai NS	250 GSM ITC PL Graphics		
1122	9789352064410	Heaven and Hell Within - Part II:Karmic Personality Development	Paperback	5	8	222	No	Gloss		70 GSM Seshai NS	250 GSM ITC PL Graphics		
1121	9789352064052	Know the Life Live the Known:A Handbook on Life	Paperback	6	9	194	No	Gloss		70 GSM Seshai NS	250 GSM ITC PL Graphics		
1120	9789352064106	Eclipse on Joypiter	Paperback	5	8	127	No	Matte		70 GSM Seshai NS	250 GSM ITC PL Graphics		
1119	9789352064120	Envisage	Paperback	5	8	92	No	Matte		70 GSM Seshai NS	250 GSM ITC PL Graphics		
